Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage	blood plasma|case	blood plasma|control
EIF1AX;EIF1AY	blood plasma|case-blood plasma|control	2.38811708	1.035698045	-0.785481922	4	3.56E-06	3.56E-04	NA	0.25	0.25	0	0
DCTN6	blood plasma|case-blood plasma|control	0.752431522	1.035698045	-0.785481922	4	3.60E-06	3.60E-04	NA	0.25	0.25	0	0
UQCRQ	blood plasma|case-blood plasma|control	0.587088	1.035698045	-0.785481922	4	3.63E-06	3.63E-04	NA	0.25	0.25	0	0
ACOT7	blood plasma|case-blood plasma|control	2.156039235	0.545400106	-0.665766535	3	3.78E-06	3.78E-04	NA	0.416666667	0.25	0.3333333	0
KRT7	blood plasma|case-blood plasma|control	0.830012353	0.717359542	0.986053469	4	3.81E-06	3.81E-04	NA	0.222222222	0.222222222	0	0
SNAP23	blood plasma|case-blood plasma|control	0.241858542	0.808538506	0.636712552	4	3.85E-06	3.85E-04	NA	0.166666667	0.166666667	0	0
IGF2BP3	blood plasma|case-blood plasma|control	0.168467583	1.035698045	-0.785481922	4	3.92E-06	3.92E-04	NA	0.25	0.25	0	0
TNPO2	blood plasma|case-blood plasma|control	-1.146980305	1.035698045	-0.785481922	4	4.01E-06	4.01E-04	NA	0.25	0.25	0	0
GTPBP10	blood plasma|case-blood plasma|control	1.112116599	0.719241549	-0.748160326	4	4.03E-06	4.03E-04	NA	0.222222222	0.222222222	0	0
DDX11;DDX11L8	blood plasma|case-blood plasma|control	1.233232418	0.467901471	-1.089255266	3	4.09E-06	4.09E-04	NA	0.333333333	0.166666667	0.3333333	0
RBM47	blood plasma|case-blood plasma|control	-1.096681533	0.821101868	-0.171279343	4	4.28E-06	4.28E-04	NA	0.111111111	0.111111111	0	0
TIMM23;TIMM23B	blood plasma|case-blood plasma|control	-2.189552374	1.035698045	-0.785481922	4	4.44E-06	4.44E-04	NA	0.25	0.25	0	0
AP3B1	blood plasma|case-blood plasma|control	-1.88250122	0.949186098	1.465238911	4	4.44E-06	4.44E-04	NA	0.277777778	0.277777778	0	0
RAMAC;RAMACL	blood plasma|case-blood plasma|control	-0.529791909	0.269449384	-0.824012008	4	4.58E-06	4.58E-04	NA	0.333333333	0.333333333	0	0
AP3D1	blood plasma|case-blood plasma|control	0.160547182	1.035698045	-0.785481922	4	4.62E-06	4.62E-04	NA	0.25	0.25	0	0
IPO5	blood plasma|case-blood plasma|control	0.053049639	1.035698045	-0.785481922	4	4.75E-06	4.75E-04	NA	0.25	0.25	0	0
NUDT4;NUDT4B;NUDT11;NUDT10	blood plasma|case-blood plasma|control	1.428893627	1.007795595	-0.261297977	4	4.83E-06	4.83E-04	NA	0.083333333	0.083333333	0	0
BIN1	blood plasma|case-blood plasma|control	-0.842875062	1.035698045	-0.785481922	4	5.06E-06	5.06E-04	NA	0.25	0.25	0	0
PDLIM1	blood plasma|case-blood plasma|control	-0.829898564	2.385271049	-0.084803338	3	5.19E-06	5.19E-04	NA	0.25	0.083333333	0.3333333	0
RTCA	blood plasma|case-blood plasma|control	0.095456293	1.035698045	-0.785481922	4	5.19E-06	5.19E-04	NA	0.25	0.25	0	0
C11orf98	blood plasma|case-blood plasma|control	-1.915299882	0.862474706	-0.342757642	4	5.23E-06	5.23E-04	NA	0.166666667	0.166666667	0	0
PIR	blood plasma|case-blood plasma|control	-2.204196687	1.035698045	-0.785481922	4	5.25E-06	5.25E-04	NA	0.25	0.25	0	0
NUDT19	blood plasma|case-blood plasma|control	-1.204571561	0.615678206	-0.850006758	4	5.25E-06	5.25E-04	NA	0.166666667	0.166666667	0	0
PSMD11	blood plasma|case-blood plasma|control	-0.752960965	0.530690612	-0.648361235	4	5.30E-06	5.30E-04	NA	0.166666667	0.166666667	0	0
PSMD9	blood plasma|case-blood plasma|control	2.629707114	0.410459471	-2.081868675	4	5.34E-06	5.34E-04	NA	0.111111111	0.111111111	0	0
PIK3C2A	blood plasma|case-blood plasma|control	-2.177614683	1.035698045	-0.785481922	4	5.50E-06	5.50E-04	NA	0.25	0.25	0	0
TUBAL3	blood plasma|case-blood plasma|control	-0.044907544	0.487763497	1.69105593	4	5.50E-06	5.50E-04	NA	0.222222222	0.222222222	0	0
WASL	blood plasma|case-blood plasma|control	-2.091994916	1.035698045	-0.785481922	4	5.56E-06	5.56E-04	NA	0.25	0.25	0	0
RAB27B	blood plasma|case-blood plasma|control	-0.686393604	0.661681086	-1.069806836	4	5.57E-06	5.57E-04	NA	0.222222222	0.222222222	0	0
PPP6C	blood plasma|case-blood plasma|control	0.760691577	1.035698045	-0.785481922	4	5.59E-06	5.59E-04	NA	0.25	0.25	0	0
KPNA3	blood plasma|case-blood plasma|control	-0.476839409	1.035698045	-0.785481922	4	5.62E-06	5.62E-04	NA	0.25	0.25	0	0
AGPS	blood plasma|case-blood plasma|control	2.322115613	1.007227898	1.807245428	4	5.63E-06	5.63E-04	NA	0.222222222	0.222222222	0	0
STXBP3	blood plasma|case-blood plasma|control	1.893876078	0.897356203	-0.894592119	4	5.64E-06	5.64E-04	NA	0.277777778	0.277777778	0	0
PSMA7	blood plasma|case-blood plasma|control	2.403047737	1.035698045	-0.785481922	4	5.65E-06	5.65E-04	NA	0.25	0.25	0	0
PDXK	blood plasma|case-blood plasma|control	0.4061312	1.035698045	-0.785481922	4	5.86E-06	5.86E-04	NA	0.25	0.25	0	0
SGK1	blood plasma|case-blood plasma|control	-1.065174326	0.333150436	7.479128661	4	5.87E-06	5.87E-04	NA	0.222222222	0.222222222	0	0
HGS	blood plasma|case-blood plasma|control	0.994255645	1.035698045	-0.785481922	4	5.97E-06	5.97E-04	NA	0.25	0.25	0	0
CNOT1	blood plasma|case-blood plasma|control	0.234084751	1.619631913	-0.556766445	3	6.03E-06	6.03E-04	NA	0.388888889	0.222222222	0.3333333	0
POM121C;POM121	blood plasma|case-blood plasma|control	1.99533219	0.694375277	0.46460334	3	6.03E-06	6.03E-04	NA	0.333333333	0.166666667	0.3333333	0
POLRMT	blood plasma|case-blood plasma|control	-0.876199841	1.035698045	-0.785481922	4	6.08E-06	6.08E-04	NA	0.25	0.25	0	0
COPE	blood plasma|case-blood plasma|control	0.278229009	1.035698045	-0.785481922	4	6.12E-06	6.12E-04	NA	0.25	0.25	0	0
ATOX1	blood plasma|case-blood plasma|control	-1.148898919	0.41144983	-1.977376778	4	6.18E-06	6.18E-04	NA	0.166666667	0.166666667	0	0
CLIC1	blood plasma|case-blood plasma|control	-1.092173084	1.756581553	-0.802637059	4	6.18E-06	6.18E-04	NA	0.166666667	0.166666667	0	0
RIMOC1	blood plasma|case-blood plasma|control	-1.444459193	0.726309719	-0.552737661	4	6.25E-06	6.25E-04	NA	0.25	0.25	0	0
PDHX	blood plasma|case-blood plasma|control	2.270372381	0.649948063	-1.231223541	4	6.25E-06	6.25E-04	NA	0.222222222	0.222222222	0	0
SUPT5H	blood plasma|case-blood plasma|control	0.030795744	0.778798581	0.672585814	4	6.28E-06	6.28E-04	NA	0.111111111	0.111111111	0	0
PDCD5	blood plasma|case-blood plasma|control	2.210085611	1.035698045	-0.785481922	4	6.30E-06	6.30E-04	NA	0.25	0.25	0	0
ADAM10	blood plasma|case-blood plasma|control	1.215343046	1.035698045	-0.785481922	4	6.40E-06	6.40E-04	NA	0.25	0.25	0	0
KRT17	blood plasma|case-blood plasma|control	2.497826105	0.37874174	-2.944793543	4	6.42E-06	6.42E-04	NA	0.055555556	0.055555556	0	0
DDX3X;DDX3Y	blood plasma|case-blood plasma|control	2.83674486	1.035698045	-0.785481922	4	6.42E-06	6.42E-04	NA	0.25	0.25	0	0
MGST3	blood plasma|case-blood plasma|control	0.491622827	1.035698045	-0.785481922	4	6.52E-06	6.52E-04	NA	0.25	0.25	0	0
CBX4	blood plasma|case-blood plasma|control	0.986678425	1.558187415	-0.069021681	3	6.52E-06	6.52E-04	NA	0.444444444	0.277777778	0.3333333	0
PRMT5	blood plasma|case-blood plasma|control	1.174503588	1.035698045	-0.785481922	4	6.54E-06	6.54E-04	NA	0.25	0.25	0	0
SLC35A4	blood plasma|case-blood plasma|control	0.385961139	1.038446034	-0.638696612	3	6.56E-06	6.56E-04	NA	0.333333333	0.166666667	0	0.3333333
VWA5A	blood plasma|case-blood plasma|control	0.929693797	1.035698045	-0.785481922	4	6.58E-06	6.58E-04	NA	0.25	0.25	0	0
SDCBP	blood plasma|case-blood plasma|control	-0.086482194	1.035698045	-0.785481922	4	6.63E-06	6.63E-04	NA	0.25	0.25	0	0
QSOX1	blood plasma|case-blood plasma|control	0.921647963	0.533667662	1.746005839	4	6.63E-06	6.63E-04	NA	0.333333333	0.333333333	0	0
ORC4	blood plasma|case-blood plasma|control	-0.813413821	0.554318498	-0.505712205	3	6.87E-06	6.87E-04	NA	0.222222222	0.055555556	0	0.3333333
DNM1L	blood plasma|case-blood plasma|control	1.622587161	1.035698045	-0.785481922	4	6.94E-06	6.94E-04	NA	0.25	0.25	0	0
NHERF1	blood plasma|case-blood plasma|control	1.469140573	1.035698045	-0.785481922	4	7.00E-06	7.00E-04	NA	0.25	0.25	0	0
TPP1	blood plasma|case-blood plasma|control	-2.076020378	1.035698045	-0.785481922	4	7.03E-06	7.03E-04	NA	0.25	0.25	0	0
EXOC5	blood plasma|case-blood plasma|control	-1.460145682	1.035698045	-0.785481922	4	7.39E-06	7.39E-04	NA	0.25	0.25	0	0
MPHOSPH10	blood plasma|case-blood plasma|control	-0.261920703	1.035698045	-0.785481922	4	7.39E-06	7.39E-04	NA	0.25	0.25	0	0
CHD1	blood plasma|case-blood plasma|control	1.75206553	1.035698045	-0.785481922	4	7.39E-06	7.39E-04	NA	0.25	0.25	0	0
FBLN1	blood plasma|case-blood plasma|control	0.502838693	0.838695338	-0.950014342	4	7.42E-06	7.42E-04	NA	0.111111111	0.111111111	0	0
TRAFD1	blood plasma|case-blood plasma|control	-2.686371021	1.035698045	-0.785481922	4	7.45E-06	7.45E-04	NA	0.25	0.25	0	0
SLC27A2	blood plasma|case-blood plasma|control	0.816809498	1.035698045	-0.785481922	4	7.45E-06	7.45E-04	NA	0.25	0.25	0	0
KCNK1	blood plasma|case-blood plasma|control	2.886353051	0.677324838	0.959727531	4	7.64E-06	7.64E-04	NA	0.083333333	0.083333333	0	0
NDC80	blood plasma|case-blood plasma|control	-2.27117291	1.035698045	-0.785481922	4	7.73E-06	7.73E-04	NA	0.25	0.25	0	0
TXNDC9	blood plasma|case-blood plasma|control	1.432216976	1.035698045	-0.785481922	4	7.75E-06	7.75E-04	NA	0.25	0.25	0	0
GIPC1	blood plasma|case-blood plasma|control	0.051528197	1.035698045	-0.785481922	4	7.78E-06	7.78E-04	NA	0.25	0.25	0	0
ARHGEF10	blood plasma|case-blood plasma|control	-1.668774864	1.035698045	-0.785481922	4	7.79E-06	7.79E-04	NA	0.25	0.25	0	0
BTAF1	blood plasma|case-blood plasma|control	-0.173540664	1.035698045	-0.785481922	4	7.79E-06	7.79E-04	NA	0.25	0.25	0	0
IGLV2-18;IGLV2-14	blood plasma|case-blood plasma|control	-1.649265364	0.587645848	0.647438372	2	7.90E-06	7.90E-04	NA	0.416666667	0.083333333	0.3333333	0.3333333
HBA1	blood plasma|case-blood plasma|control	-0.806627115	0.857319786	0.132748367	4	7.99E-06	7.99E-04	NA	0.333333333	0.333333333	0	0
PODXL	blood plasma|case-blood plasma|control	-1.184458198	1.035698045	-0.785481922	4	8.08E-06	8.08E-04	NA	0.25	0.25	0	0
NACA	blood plasma|case-blood plasma|control	0.018619071	0.589912234	-0.414407073	4	8.09E-06	8.09E-04	NA	0.111111111	0.111111111	0	0
IMPA2	blood plasma|case-blood plasma|control	-0.997212826	1.035698045	-0.785481922	4	8.13E-06	8.13E-04	NA	0.25	0.25	0	0
RNASET2	blood plasma|case-blood plasma|control	0.595490794	1.035698045	-0.785481922	4	8.34E-06	8.34E-04	NA	0.25	0.25	0	0
KRT16	blood plasma|case-blood plasma|control	-1.616554763	1.57297074	0.811151806	3	8.36E-06	8.36E-04	NA	0.416666667	0.25	0.3333333	0
CASK	blood plasma|case-blood plasma|control	0.851278167	1.035698045	-0.785481922	4	8.42E-06	8.42E-04	NA	0.25	0.25	0	0
XPO1	blood plasma|case-blood plasma|control	2.011695035	1.035698045	-0.785481922	4	8.44E-06	8.44E-04	NA	0.25	0.25	0	0
DLGAP1	blood plasma|case-blood plasma|control	0.684518139	1.035698045	-0.785481922	4	8.56E-06	8.56E-04	NA	0.25	0.25	0	0
MEN1	blood plasma|case-blood plasma|control	-1.717718268	0.66677087	-1.687513107	4	8.61E-06	8.61E-04	NA	0.222222222	0.222222222	0	0
DFFA	blood plasma|case-blood plasma|control	-0.528711651	0.769723755	0.793021581	4	8.75E-06	8.75E-04	NA	0.25	0.25	0	0
PSMD14	blood plasma|case-blood plasma|control	0.845433428	1.035698045	-0.785481922	4	8.80E-06	8.80E-04	NA	0.25	0.25	0	0
UBFD1	blood plasma|case-blood plasma|control	1.700198025	1.035698045	-0.785481922	4	8.81E-06	8.81E-04	NA	0.25	0.25	0	0
SHTN1	blood plasma|case-blood plasma|control	-0.682912218	0.822253985	0.662609886	4	8.95E-06	8.95E-04	NA	0.111111111	0.111111111	0	0
RCCD1	blood plasma|case-blood plasma|control	-2.352028292	2.148201746	-0.015977318	4	8.98E-06	8.98E-04	NA	0.166666667	0.166666667	0	0
PTGES	blood plasma|case-blood plasma|control	0.680454328	1.035698045	-0.785481922	4	9.00E-06	9.00E-04	NA	0.25	0.25	0	0
PSMD12	blood plasma|case-blood plasma|control	2.991575618	0.352784069	-0.953111969	4	9.01E-06	9.01E-04	NA	0.055555556	0.055555556	0	0
EIF3C;EIF3CL	blood plasma|case-blood plasma|control	0.765830183	0.358174611	-2.417028183	4	9.02E-06	9.02E-04	NA	0.055555556	0.055555556	0	0
MYO1G	blood plasma|case-blood plasma|control	-1.120429029	2.151428486	0.612097032	4	9.03E-06	9.03E-04	NA	0.055555556	0.055555556	0	0
PPP1R12A	blood plasma|case-blood plasma|control	-0.512014596	1.035698045	-0.785481922	4	9.05E-06	9.05E-04	NA	0.25	0.25	0	0
FAM168B	blood plasma|case-blood plasma|control	0.875617761	0.894120649	-0.746729809	4	9.08E-06	9.08E-04	NA	0	0	0	0
PES1	blood plasma|case-blood plasma|control	-0.901636929	1.035698045	-0.785481922	4	9.09E-06	9.09E-04	NA	0.25	0.25	0	0
NOP56	blood plasma|case-blood plasma|control	-0.216365379	1.035698045	-0.785481922	4	9.16E-06	9.16E-04	NA	0.25	0.25	0	0
KRT10	blood plasma|case-blood plasma|control	0.114780692	0.921552844	-0.199953609	3	9.28E-06	9.28E-04	NA	0.333333333	0.166666667	0.3333333	0
NDUFS8	blood plasma|case-blood plasma|control	0.256578163	2.511264149	-0.030522461	4	9.32E-06	9.32E-04	NA	0.25	0.25	0	0
TCERG1	blood plasma|case-blood plasma|control	-0.254002351	1.035698045	-0.785481922	4	9.38E-06	9.38E-04	NA	0.25	0.25	0	0
SNRPG;SNRPGP15	blood plasma|case-blood plasma|control	-1.66206313	0.455113892	-3.139483526	4	9.45E-06	9.45E-04	NA	0.277777778	0.277777778	0	0
CCS	blood plasma|case-blood plasma|control	2.035154626	1.035698045	-0.785481922	4	9.46E-06	9.46E-04	NA	0.25	0.25	0	0
MYO1C	blood plasma|case-blood plasma|control	-0.730627657	1.00051006	0.63714897	4	9.75E-06	9.75E-04	NA	0.111111111	0.111111111	0	0
KRT25	blood plasma|case-blood plasma|control	2.208640384	1.814843666	0.469352035	4	9.83E-06	9.83E-04	NA	0.166666667	0.166666667	0	0
EIF3F	blood plasma|case-blood plasma|control	1.609821417	0.483923122	0.650848919	4	9.91E-06	9.91E-04	NA	0.111111111	0.111111111	0	0
PGP	blood plasma|case-blood plasma|control	-2.238120187	0.92663066	0.128400697	4	9.97E-06	9.97E-04	NA	0.111111111	0.111111111	0	0
KDM3B	blood plasma|case-blood plasma|control	-1.35814442	1.035698045	-0.785481922	4	0.000454404	0.000454404	NA	0.25	0.25	0	0
HDGF	blood plasma|case-blood plasma|control	-0.237858523	1.035698045	-0.785481922	4	0.00047997	0.00047997	NA	0.25	0.25	0	0
COPB1	blood plasma|case-blood plasma|control	-1.97182572	1.035698045	-0.785481922	4	0.000703916	0.000703916	NA	0.25	0.25	0	0
MRPS25	blood plasma|case-blood plasma|control	1.195317742	1.035698045	-0.785481922	4	0.000883998	0.000883998	NA	0.25	0.25	0	0
RPS7	blood plasma|case-blood plasma|control	1.544970423	1.035698045	-0.785481922	4	0.000911598	0.000911598	NA	0.25	0.25	0	0
IPO8	blood plasma|case-blood plasma|control	-0.659629441	1.035698045	-0.785481922	4	0.001063433	0.001063433	NA	0.25	0.25	0	0
NIP7	blood plasma|case-blood plasma|control	1.027588823	1.035698045	-0.785481922	4	0.001078031	0.001078031	NA	0.25	0.25	0	0
PSMC6	blood plasma|case-blood plasma|control	0.528235446	1.035698045	-0.785481922	4	0.001142767	0.001142767	NA	0.25	0.25	0	0
IMPA2	blood plasma|case-blood plasma|control	-2.013792242	1.035698045	-0.785481922	4	0.001185145	0.001185145	NA	0.25	0.25	0	0
PTCD3	blood plasma|case-blood plasma|control	-1.95438276	1.035698045	-0.785481922	4	0.001210163	0.001210163	NA	0.25	0.25	0	0
SPPL2A	blood plasma|case-blood plasma|control	-0.138690658	1.035698045	-0.785481922	4	0.001303758	0.001303758	NA	0.25	0.25	0	0
NUCKS1	blood plasma|case-blood plasma|control	0.054134547	1.035698045	-0.785481922	4	0.001355835	0.001355835	NA	0.25	0.25	0	0
USP7	blood plasma|case-blood plasma|control	0.409831469	1.035698045	-0.785481922	4	0.001538995	0.001538995	NA	0.25	0.25	0	0
APMAP	blood plasma|case-blood plasma|control	1.760743333	1.035698045	-0.785481922	4	0.001539875	0.001539875	NA	0.25	0.25	0	0
MAPK1	blood plasma|case-blood plasma|control	0.041836958	1.035698045	-0.785481922	4	0.001637867	0.001637867	NA	0.25	0.25	0	0
COX16	blood plasma|case-blood plasma|control	-0.358736394	1.035698045	-0.785481922	4	0.001724763	0.001724763	NA	0.25	0.25	0	0
ARPC4	blood plasma|case-blood plasma|control	-0.010971232	1.035698045	-0.785481922	4	0.001745875	0.001745875	NA	0.25	0.25	0	0
ACY1	blood plasma|case-blood plasma|control	1.116925322	1.035698045	-0.785481922	4	0.001923967	0.001923967	NA	0.25	0.25	0	0
CHMP4A	blood plasma|case-blood plasma|control	-0.790558896	1.035698045	-0.785481922	4	0.001977251	0.001977251	NA	0.25	0.25	0	0
RPLP2	blood plasma|case-blood plasma|control	0.472385343	1.035698045	-0.785481922	4	0.002296591	0.002296591	NA	0.25	0.25	0	0
DMAP1	blood plasma|case-blood plasma|control	2.522355214	1.035698045	-0.785481922	4	0.002527069	0.002527069	NA	0.25	0.25	0	0
SDAD1	blood plasma|case-blood plasma|control	-0.726393147	1.035698045	-0.785481922	4	0.002596172	0.002596172	NA	0.25	0.25	0	0
PKM	blood plasma|case-blood plasma|control	-0.259713441	1.035698045	-0.785481922	4	0.002605203	0.002605203	NA	0.25	0.25	0	0
DHX9	blood plasma|case-blood plasma|control	-1.582447095	1.035698045	-0.785481922	4	0.002797577	0.002797577	NA	0.25	0.25	0	0
FAM111B	blood plasma|case-blood plasma|control	-0.014246939	1.035698045	-0.785481922	4	0.002871534	0.002871534	NA	0.25	0.25	0	0
INO80C	blood plasma|case-blood plasma|control	-0.106319798	1.035698045	-0.785481922	4	0.00310237	0.00310237	NA	0.25	0.25	0	0
BZW1	blood plasma|case-blood plasma|control	-0.019083737	1.035698045	-0.785481922	4	0.0033699	0.0033699	NA	0.25	0.25	0	0
RAB7A	blood plasma|case-blood plasma|control	1.36902195	1.035698045	-0.785481922	4	0.003434609	0.003434609	NA	0.25	0.25	0	0
SAMM50	blood plasma|case-blood plasma|control	-1.316632732	1.035698045	-0.785481922	4	0.003506201	0.003506201	NA	0.25	0.25	0	0
DDX31	blood plasma|case-blood plasma|control	0.30944306	1.035698045	-0.785481922	4	0.003746911	0.003746911	NA	0.25	0.25	0	0
AQR	blood plasma|case-blood plasma|control	0.659215121	1.035698045	-0.785481922	4	0.003762591	0.003762591	NA	0.25	0.25	0	0
HSP90AB1	blood plasma|case-blood plasma|control	-0.672999048	1.035698045	-0.785481922	4	0.003766237	0.003766237	NA	0.25	0.25	0	0
RSF1	blood plasma|case-blood plasma|control	0.577832984	1.035698045	-0.785481922	4	0.003768179	0.003768179	NA	0.25	0.25	0	0
CUL3	blood plasma|case-blood plasma|control	3.017135841	1.035698045	-0.785481922	4	0.003996575	0.003996575	NA	0.25	0.25	0	0
MLST8	blood plasma|case-blood plasma|control	0.632833527	1.035698045	-0.785481922	4	0.004046821	0.004046821	NA	0.25	0.25	0	0
HACD3	blood plasma|case-blood plasma|control	-1.942373504	1.035698045	-0.785481922	4	0.004325391	0.004325391	NA	0.25	0.25	0	0
